"ECHD","7770            ","SA ASSMT & EVAL    "
"ECHD","8000            ","APPLD PROJ IN C&HDS"
"ECHD","8015            ","FOUND COUNSELOR ED "
"ECHD","8020            ","SEMINAR IN C&HDS   "
"ECHD","8030E           ","PSYCHODIAGNOSIS    "
"ECHD","8035            ","SEM COUNSELOR ED   "
"ECHD","8150            ","CHILD & FAM CNSLG  "
"ECHD","8190            ","SOCIAL JUSTICE ORG "
"ECHD","8990            ","RESEARCH SEMINAR   "
"ECHD","9000            ","DOCTORAL RESEARCH  "
"ECHD","9020            ","HDS INTERVENTIONS  "
"ECHD","9050E           ","CAREER DEV & RSRCH "
"ECHD","9060            ","ADV MLTCLTRL CNSL  "
"ECHD","9080            ","ADV GROUP WORK THRY"
"ECHD","9300            ","DOCT DISSERTATION  "
"ECHD","9480            ","THE COLLEGE STUDENT"
"ECHD","9850            ","TCHG INTRNSHP C&HDS"
"ECHD","9970            ","EDUC RSRCH IN C&HDS"
"EDEC","7200            ","ELEM DEV ISSUES    "
"EDEC","7420            ","ORG/MGT OF ECE CLSR"
"EDIT","6150E           ","INTRO CMPTR BSED ED"
"EDIT","6400E           ","TEACH LEARN TECHNOL"
"EDIT","7550E           ","MGT IT PROJECTS    "
"FDST","7007E           ","MFT TERM PROJECT   "
"KINS","6000            ","DIR STUDY KINS     "
"KINS","6520            ","SPORT FINANCE      "
"KINS","7450L           ","INTERNSHIP KINS    "
"KINS","7800L           ","PRACTICUM KINS     "
"PADP","7210            ","INTRO TO  NONPROFIT"
"PADP","7350            ","INTERN IN GOVT     "
"PADP","9200            ","INDP STUDY PA      "
