"AAEC","2580            ","APP MICROECN PRIN  "
"AAEC","3100            ","FOOD AND FIBER MKT "
"AAEC","3400            ","INTRO AG POLICY    "
"AAEC","3580            ","INTER ECON PRIN    "
"AAEC","3580            ","INTER ECON PRIN    "
"AAEC","3580            ","INTER ECON PRIN    "
"AAEC","3580L           ","INTER ECON PRIN LAB"
"AAEC","3580L           ","INTER ECON PRIN LAB"
"AAEC","3690            ","AGRIBUSINESS FIN   "
"AAEC","3690            ","AGRIBUSINESS FIN   "
"AAEC","3980            ","INTRO AGRIBUS MGT  "
"AAEC","4040            ","QUANT APP AGB MGT  "
"AAEC","4040L           ","QUANT APP AGB LAB  "
"AAEC","4050E           ","AGBUS LAW          "
"AAEC","4510            ","LAND ECON & APPRAIS"
"AAEC","4720            ","FOOD ECON DEV ENV  "
"AAEC","4760            ","AG PROC & MKT ECON "
"AAEC","4980            ","AGRIBUSINESS MGT   "
"AAEC","4990            ","APPLIED ECON TOPICS"
"AAEC","4990            ","APPLIED ECON TOPICS"
"AAEC","4990            ","APPLIED ECON TOPICS"
"AAEC","6510            ","LAND ECON & APPRAIS"
"AAEC","6580            ","MICRO/APP I        "
"AAEC","6580            ","MICRO/APP I        "
"AAEC","6610            ","QUANT TECH AG ECON "
"AAEC","6980            ","AGRIBUSINESS MGT   "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7000            ","MASTER'S RESEARCH  "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","7300            ","MASTER'S THESIS    "
"AAEC","8010            ","SEMINAR AG APP ECON"
"AAEC","8020            ","AG & APP ECON TOPIC"
"AAEC","8020            ","AG & APP ECON TOPIC"
"AAEC","8100            ","NONMRKT ECON VAL   "
"AAEC","8210            ","MACRO ISSUES AG/RES"
"AAEC","8400            ","AG MARKET ANALYSIS "
"AAEC","8800            ","DYN OPT AG RES ECON"
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9000            ","DOCTORAL RESEARCH  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"AAEC","9300            ","DOCT DISSERTATION  "
"ACCT","1160            ","SURVEY OF ACC      "
"ACCT","2101            ","PRIN OF ACC I      "
"ACCT","2101            ","PRIN OF ACC I      "
"ACCT","2101            ","PRIN OF ACC I      "
"ACCT","2101H           ","PRIN OF ACC I H    "
"ACCT","2101H           ","PRIN OF ACC I H    "
"ACCT","2102            ","PRIN ACC II        "
"ACCT","2102            ","PRIN ACC II        "
"ACCT","5000            ","INTERMED ACC I     "
"ACCT","5000            ","INTERMED ACC I     "
"ACCT","5000            ","INTERMED ACC I     "
"ACCT","5010            ","INTERMED ACC II    "
"ACCT","5010            ","INTERMED ACC II    "
"ACCT","5010            ","INTERMED ACC II    "
"ACCT","5020            ","INTER ACC III      "
"ACCT","5020            ","INTER ACC III      "
"ACCT","5020            ","INTER ACC III      "
"ACCT","5100            ","MANAGERIAL ACC I   "
"ACCT","5100            ","MANAGERIAL ACC I   "
"ACCT","5100            ","MANAGERIAL ACC I   "
"ACCT","5100H           ","MANAGERIAL ACC I H "
"ACCT","5100H           ","MANAGERIAL ACC I H "
"ACCT","5100H           ","MANAGERIAL ACC I H "
"ACCT","5200            ","AUDIT RISK & CNTRL "
"ACCT","5200            ","AUDIT RISK & CNTRL "
"ACCT","5200            ","AUDIT RISK & CNTRL "
"ACCT","5200H           ","AUDIT RISK/CNTRL H "
"ACCT","5200H           ","AUDIT RISK/CNTRL H "
"ACCT","5200H           ","AUDIT RISK/CNTRL H "
"ACCT","5310            ","SYSTEMS I          "
"ACCT","5310            ","SYSTEMS I          "
"ACCT","5310            ","SYSTEMS I          "
"ACCT","5310H           ","SYSTEMS I H        "
"ACCT","5310H           ","SYSTEMS I H        "
"ACCT","5310H           ","SYSTEMS I H        "
"ACCT","5400            ","INTRO TO TAXATION  "
"ACCT","5400            ","INTRO TO TAXATION  "
"ACCT","5400            ","INTRO TO TAXATION  "
"ACCT","5400H           ","TAX I H            "
"ACCT","5400H           ","TAX I H            "
"ACCT","5710            ","PROF ACC I         "
"ACCT","5720            ","PRO ACC II         "
"ACCT","5720            ","PRO ACC II         "
"ACCT","5720            ","PRO ACC II         "
"ACCT","5800            ","INTERNSHIP IN ACCT "
"ACCT","5990            ","DIRECTED STUDY     "
"ACCT","5990            ","DIRECTED STUDY     "
"ACCT","5990            ","DIRECTED STUDY     "
"ACCT","6000            ","FIN ACC            "
