,"AAEC","3910","INTERNSHIPS",,"36168","STEGELIN",,35,15,,,
,"AAEC","4050E","AGBUS LAW",,"25707","Multiple",,25,20,,,
,"AAEC","4990","APPLIED ECON TOPICS",,"47023","LACY",,1,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"06693","FERREIRA",,25,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"06698","KARALI",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"16685","AMES",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"26694","GUNTER",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"36686","COLSON",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"46700","KOSTANDINI",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"56690","ESCALANTE",,25,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"56706","MULLEN",,25,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"76707","RAMIREZ",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"76710","WETZSTEIN",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"86697","HOUSTON",,25,0,,,
,"AAEC","7000","MASTER'S RESEARCH",,"86702","MAGNAN",,25,1,,,
,"AAEC","7000","MASTER'S RESEARCH",,"96689","DORFMAN",,25,1,,,
,"AAEC","7300","MASTER'S THESIS",,"06684","AMES",,25,0,,,
,"AAEC","7300","MASTER'S THESIS",,"06703","MAGNAN",,25,1,,,
,"AAEC","7300","MASTER'S THESIS",,"06709","WETZSTEIN",,25,1,,,
,"AAEC","7300","MASTER'S THESIS",,"16699","KARALI",,25,1,,,
,"AAEC","7300","MASTER'S THESIS",,"16704","MAGNAN",,25,0,,,
,"AAEC","7300","MASTER'S THESIS",,"36705","MULLEN",,25,2,,,
,"AAEC","7300","MASTER'S THESIS",,"46695","GUNTER",,25,1,,,
,"AAEC","7300","MASTER'S THESIS",,"56687","COLSON",,25,0,,,
,"AAEC","7300","MASTER'S THESIS",,"66696","HOUSTON",,25,0,,,
