,"KINS","6000","DIR STUDY KINS",,"70955","ZHANG",,30,0,,,
,"EDIT","6150E","INTRO CMPTR BSED ED",,"00828","DEISSLER",,30,0,,,
,"EDIT","6400E","TEACH LEARN TECHNOL",,"90830","CLINTON",,30,0,,,
,"KINS","6520","SPORT FINANCE",,"90956","BAKER",,40,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"01977","HARRISON",,10,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"51974","FRANK",,10,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"71975","BRODY",,10,0,,,
,"FDST","7007E","MFT TERM PROJECT",,"91976","WICKER",,10,0,,,
,"EDEC","7200","ELEM DEV ISSUES",,"41352","CAPUOZZO",,25,0,,,
,"PADP","7210","INTRO TO  NONPROFIT",,"20846","NESBIT",,30,0,,,
,"PADP","7350","INTERN IN GOVT",,"60848","WHITFORD",,10,0,,,
,"EDEC","7420","ORG/MGT OF ECE CLSR",,"21351","LOVE",,25,0,,,
,"KINS","7450L","INTERNSHIP KINS",,"30628","ZHANG",,30,0,,,
,"EDIT","7550E","MGT IT PROJECTS",,"00831","BRANCH",,30,0,,,
,"ECHD","7770","SA ASSMT & EVAL",,"90553","Staff",,15,0,,,
,"KINS","7800L","PRACTICUM KINS",,"50629","ZHANG",,40,0,,,
,"ECHD","8000","APPLD PROJ IN C&HDS",,"20538","HASKINS",,20,0,,,
,"ECHD","8015","FOUND COUNSELOR ED",,"80544","COOPER",,15,0,,,
,"ECHD","8020","SEMINAR IN C&HDS",,"40539","GRIFFITH",,15,0,,,
,"ECHD","8035","SEM COUNSELOR ED",,"70549","PAISLEY",,15,0,,,
,"ECHD","8150","CHILD & FAM CNSLG",,"00562","GLASER",,40,0,,,
,"ECHD","8190","SOCIAL JUSTICE ORG",,"00545","SINGH",,15,0,,,
,"ECHD","8990","RESEARCH SEMINAR",,"00554","SINGH",,15,0,,,
,"ECHD","9000","DOCTORAL RESEARCH",,"30550","COOPER",,15,0,,,
,"ECHD","9020","HDS INTERVENTIONS",,"00540","HASKINS",,15,0,,,
,"ECHD","9060","ADV MLTCLTRL CNSL",,"20541","BAILEY",,15,0,,,
,"ECHD","9080","ADV GROUP WORK THRY",,"50548","PAISLEY",,15,0,,,
,"PADP","9200","INDP STUDY PA",,"40847","CHRISTENSEN",,30,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"00559","PAISLEY",,15,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"20555","COOPER",,15,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"40556","DAIGLE",,15,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"60557","DEAN",,15,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"60560","PHELPS",,15,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"80558","HASKINS",,15,0,,,
,"ECHD","9300","DOCT DISSERTATION",,"80561","SINGH",,15,0,,,
,"ECHD","9480","THE COLLEGE STUDENT",,"10563","DEAN",,20,0,,,
,"ECHD","9850","TCHG INTRNSHP C&HDS",,"50551","PHELPS",,15,0,,,
