,"REAL","7100","REAL ESTATE",,"22371","MARTIN",,50,18,,,
,"INTB","7100","SPCL TOPICS INTB",,"07172","CHATTERJEE",,10,3,,,
,"MGMT","7260","SERVICE OPNS MGT",,"23083","NICPON",,50,23,,,
,"MGMT","7310","INNOVATION MGMT",,"43084","SUTHERLAND",,50,44,,,
,"FINA","7310","INVESTMENTS",,"63085","SEGUIN",,50,17,,,
,"EMBA","7310","OPERATIONS MGT",,"54907","ATKINS",,50,41,,,
,"EMBA","7310","OPERATIONS MGT",,"94909","ATKINS",,50,39,,,
,"EMBA","7450","INFO TECH STRAT",,"04904","CHATTERJEE",,50,36,,,
,"EMBA","7450","INFO TECH STRAT",,"34906","CHATTERJEE",,50,41,,,
,"EMBA","7450","INFO TECH STRAT",,"74908","TIWANA",,50,39,,,
,"EMBA","7600","FIN ANL & COST MGT",,"14905","MOORE",,50,36,,,
,"EMBA","7990","DIRECTED STUDY",,"28641","DANIELS",,10,1,,,
,"MARK","7990","DIRECT STUDY",,"03082","OSBON",,50,25,,,
,"BUSN","7990","DIR STUDY IN BUS",,"58035","DANIELS",,10,0,,,
,"EDHI","8400","FINANCE HIGHER ED",,"25304","TOUTKOUSHIAN",,18,18,,,
,"EDHI","9300","DOCT DISSERTATION",,"05298","HEARN",,10,3,,,
,"EDHI","9300","DOCT DISSERTATION",,"05303","WEBBER",,10,3,,,
,"EDHI","9300","DOCT DISSERTATION",,"25299","MORRIS",,10,0,,,
,"EDHI","9300","DOCT DISSERTATION",,"55300","NESS",,10,3,,,
,"EDHI","9300","DOCT DISSERTATION",,"55314","KNAPP",,10,2,,,
,"EDHI","9300","DOCT DISSERTATION",,"75301","SLAUGHTER",,10,5,,,
,"EDHI","9300","DOCT DISSERTATION",,"95302","TOUTKOUSHIAN",,10,2,,,
,"EDHI","9500","POLICY STUDIES",,"45305","HEARN",,18,18,,,
